ID_REF,GSM41252,GSM41253,GSM41254,GSM41255,GSM41256,GSM41257,GSM41258,GSM41259,GSM41260,GSM41264,GSM41265,GSM41266,GSM41279,GSM41280,GSM41281,GSM41785,GSM41786,GSM41787,GSM41788,GSM41789,GSM41790,GSM41791,GSM41792,GSM41793,GSM41797,GSM41798,GSM41799,GSM41811,GSM41812,GSM41813
YAL035W,0.278939,0.227529,0.396684,0.0597822,0.0197009,0.331592,-0.419143,-0.383865,-0.354857,-0.031327,-0.0405333,-0.307729,0.133443,0.123718,0.0024915,0.204543,0.272822,-0.0604659,0.253453,0.153498,0.0941487,0.375685,0.13749,0.150856,0.29092,0.34174,0.532946,-0.316814,-0.35531,-0.41985
YAL036C,0.339617,0.383798,0.714927,0.11204,0.164629,0.266886,-0.711466,-0.787296,-0.743514,-0.631236,-0.870592,-0.481388,0.189832,0.216139,0.419322,0.0951775,-0.131797,-0.196695,0.264455,0.141137,-0.0666158,0.426166,0.25273,0.215675,0.222839,-0.239416,0.0358742,-0.498561,-0.579645,-0.660466
YAL037W,-0.0549652,-0.217954,0.196358,-0.523251,-0.553655,0.101523,-0.740319,-0.397735,0.120437,0.103007,0.228082,-0.192344,-0.0114339,0.191471,-0.145745,-0.556615,-0.258798,-0.162937,-0.74839,-0.32845,0.0296899,0.14304,0.291264,0.339426,0.133538,0.60705,0.641859,-0.39139,-0.45475,-0.395086
YAL038W,-0.251156,-0.0841778,-0.00725843,-0.343085,-0.428314,-0.107622,-0.345017,-0.650592,-0.424158,0.240867,0.0464827,0.226661,-0.00706098,-0.0561223,0.133942,-0.264498,-0.0057309,-0.0960292,-0.203547,-0.171744,-0.054061,-0.316459,-0.0237756,0.00598862,0.098921,0.142927,0.151406,0.100781,0.199358,0.118821
YAL039C,0.273772,0.211439,0.468694,0.390711,0.299821,0.405985,0.955332,0.868041,0.745901,0.81547,0.996678,0.619221,-0.981767,-1.17666,-1.11882,0.589655,0.451082,0.716452,0.467463,0.416601,0.512698,0.580728,0.564658,0.45784,-0.0471947,0.221655,0.314972,-0.679858,-0.466933,-0.740911
YAL040C,-0.312039,-0.381868,-0.345528,-0.031692,0.126454,0.0152359,0.288273,-0.00445278,-0.278566,0.538212,0.0860261,0.325894,-0.329534,-0.35671,-0.236489,0.0880201,0.225894,0.0620615,0.0146168,0.117555,0.00113982,0.133639,-0.128164,-0.0545329,-0.144167,-0.0482915,-0.132073,-0.0479282,0.0812858,-0.506405
YAL041W,-0.107084,-0.145159,-0.00653814,-0.490991,-0.518256,-0.389457,-0.0226323,-0.0169909,-0.204688,0.0681498,0.0553766,-0.105109,0.0623553,-0.00144069,-0.0118758,-0.348343,0.0461435,-0.266394,-0.334141,-0.149756,-0.212175,0.00493719,-0.280369,-0.0747877,0.0231145,0.0764347,0.490643,0.00672731,-0.119682,-0.355663
YAL042W,0.220559,0.402377,0.529918,0.339551,0.111785,0.470495,0.404932,0.00935577,0.155788,0.0879351,0.228677,0.0165759,0.220213,0.270778,0.373198,0.0708005,0.197579,0.244055,0.0915543,0.0914885,0.0348594,0.154638,0.518738,0.0797422,0.384547,0.350234,0.236082,0.325168,0.050569,0.28067
YAL043C,0.0837123,0.0870901,0.125974,-0.0414208,-0.0906935,0.0972085,0.158191,0.108292,-0.36479,0.193333,0.0904179,-0.115359,-0.00258433,0.0527608,0.0249082,-0.122803,0.172628,0.00450273,-0.279835,-0.148465,-0.134471,0.100721,-0.170584,-0.182572,-0.0616767,0.0708715,0.305401,0.238269,0.0144706,-0.0416842
YAL044C,0.949602,1.19469,1.47343,0.728728,0.509032,0.792076,0.0741998,0.0479554,0.385118,-0.196776,-0.188186,-0.136463,-1.56103,-1.56387,-1.71528,-0.530441,-0.160257,0.341677,-0.366389,0.423236,0.870957,-0.680567,0.9367,1.13241,-0.225304,1.49507,1.39057,-0.0484717,-0.0721081,-0.0630356
YAL044W-A,0.000349586,0.0800953,0.238678,-0.104506,-0.0878891,0.157831,0.0551381,0.29746,0.392142,-0.0429585,0.112136,0.248452,-0.211607,-0.285529,-0.286833,-0.035763,-0.106425,0.23351,-0.109931,-0.12701,-0.0845766,-0.132821,0.14482,-0.113672,-0.137385,-0.0101805,-0.224424,-0.195911,-0.105759,0.0875561
YAL046C,0.35994,0.746644,0.815436,0.424883,0.383504,0.364273,0.221216,0.412062,0.558282,0.111646,0.325157,0.0754064,-0.466745,-0.336622,-0.704863,0.230934,0.102645,0.33922,0.331405,0.256573,0.317971,0.280497,0.372662,0.287091,0.0432272,0.353264,0.140001,-0.289981,-0.359766,-0.21542
YAL047C,0.250065,0.526308,0.463049,0.456524,0.00229655,0.0334351,0.375465,0.0301002,0.191096,0.595342,-0.0815919,0.451593,0.365422,-0.00832894,0.325272,-0.172739,0.133903,0.00217253,0.0494735,0.189909,0.318851,0.214747,0.300609,0.363883,0.400058,0.277732,0.250705,-0.389481,-0.205432,-0.112188
YAL048C,-0.114883,0.0654163,-0.178451,0.00697097,-0.115713,0.0108646,0.427471,0.273904,0.393394,-0.0294061,0.0316043,0.184337,-0.197391,-0.138433,-0.318348,-0.128063,0.0663293,0.0578776,0.237944,0.032415,0.0921677,0.0803464,-0.100127,0.0572594,0.0965428,-0.0212111,-0.131605,-0.336091,-0.423058,-0.491412
YAL049C,0.508356,0.795266,0.763515,0.573876,0.994661,0.641163,1.07902,0.649501,0.796617,0.769552,0.471178,0.902244,-0.435944,-0.562062,-0.425531,0.484574,0.557871,0.598243,0.576223,0.548431,0.486392,0.554323,0.419163,0.472732,0.301377,0.45925,0.193076,-0.9773,-0.737453,-1.07384
YAL051W,0.21031,0.0632259,0.149919,0.416844,0.0418431,0.342212,0.153293,0.290312,0.374213,-0.125374,-0.120662,-0.19116,-0.263337,-0.188212,-0.389057,-0.00578649,0.148683,0.0452037,0.399193,0.00788954,0.0294667,0.132595,-0.0458602,0.0597456,0.0182403,0.0149766,-0.147522,-0.286713,-0.440134,-0.350076
YAL053W,0.534054,0.452191,0.451505,0.410956,0.639621,0.0832606,0.524863,-0.170431,-0.179863,0.331142,-0.344322,0.269733,0.349645,0.0713293,0.406815,-0.174194,0.184985,0.051571,0.199634,0.27691,0.223919,0.333659,0.240562,0.048257,-0.146642,-0.0424717,-0.194478,0.273521,0.316088,0.220402
YAL054C,0.477544,-0.227593,-0.347728,-0.16187,-0.114025,0.0962523,0.207036,0.503086,0.389269,-0.0922528,0.157792,0.050851,-0.12187,-0.167897,-0.328171,0.278716,-0.0649982,0.219861,-0.182828,-0.22547,-0.201878,-0.135664,-0.14213,-0.17346,-0.145268,-0.0699869,-0.27762,-0.120216,-0.166876,0.0132525
YAL055W,-0.57081,-0.436168,-0.216083,-0.292826,0.038495,-0.256974,0.211865,0.294616,0.308649,-0.484357,-0.205147,0.193582,0.133328,-0.221039,0.101545,-0.340322,-0.107027,0.0126579,-0.446253,-0.206674,-0.0849938,-0.18264,-0.122559,-0.184502,-0.595724,0.128652,-0.330384,-0.136888,0.25495,0.238136
